año,mes,tavg_mean,tmin_mean,tmax_mean,prcp_sum,wspd_mean,pres_mean,dias_lluvia,dias_registro
2006,9,30.128083333333333,23.06,36.058928571428574,0.3,9.334751619755142,1011.0869500372856,1,30
2006,10,29.16006139757357,23.66465205282744,33.992473555850566,13.2,7.007096774193548,1010.9167741935485,3,31
2006,11,27.44093936077519,22.00109286542046,32.18957867982573,16.0,6.208666666666667,1010.9373333333334,2,30
2006,12,27.688648271694696,22.422893778130934,32.54823811583722,20.8,6.147096774193548,1010.5896774193548,2,31
2007,1,28.387453276001033,22.56697452459246,34.18796241733919,0.0,6.186486486486486,1010.9416216216217,0,31
2007,2,28.76481047089894,23.010811518049668,33.665914269035554,2.0,6.405029585798816,1010.6857988165679,1,28
2007,3,28.028629032258067,22.56814516129032,33.00006789303692,94.5,6.063763292475038,1010.9570570570571,11,31
2007,4,27.13,22.290000000000003,32.0075,165.8,5.988205759101919,1010.745,13,30
2007,5,27.48225806451613,22.20967741935484,32.508870967741935,33.7,7.040860215053763,1011.6268817204301,8,31
2007,6,27.48166666666667,22.176666666666666,32.35333333333333,8.1,8.018666666666666,1012.2233333333334,3,30
2007,7,28.85725806451613,22.716129032258067,34.697741935483876,25.1,11.233548387096775,1012.4174193548388,5,31
2007,8,28.895967741935483,22.77258064516129,34.993613639926075,6.6,10.692959770114943,1011.8156989247311,3,31
2007,9,29.98625,23.592499999999998,34.56319082872435,0.3,9.334751619755142,1011.0869500372856,1,30
2007,10,28.25999037620614,21.92522925222017,33.84413190224266,67.3,7.007096774193548,1010.9167741935485,5,31
2007,11,27.12958582956718,21.888150701687348,32.07166356432826,34.0,6.208666666666667,1010.9373333333334,2,30
2007,12,27.665680695817993,22.611411598177913,32.20642520077862,0.0,6.147096774193548,1010.5896774193548,0,31
2008,1,27.796766186239672,22.35130569855007,32.49837901594961,8.1,6.186486486486486,1010.9416216216217,2,31
2008,2,27.9455458710084,22.684662606160146,33.116010037368945,0.0,6.405029585798816,1010.685798816568,0,29
2008,3,28.119352004931127,22.608474487295645,33.25677617103611,0.0,6.063763292475038,1010.9570570570571,0,31
2008,4,27.268332244462837,22.048798717495163,33.07970537040904,73.9,5.988205759101919,1010.745,1,30
2008,5,27.974507238792953,22.76903810475239,33.141932229201515,0.0,7.040860215053763,1011.6268817204301,0,31
2008,6,28.220662220216912,22.563941660379616,33.59305937536417,0.0,8.018666666666666,1012.2233333333334,0,30
2008,7,28.71185986367863,22.71914045161159,34.19503299444866,0.0,11.233548387096775,1012.4174193548388,0,31
2008,8,29.605097538197242,23.283630044409907,35.13244698196759,0.0,10.692959770114943,1011.8156989247311,0,31
2008,9,29.710151777313044,23.272415197822745,35.578077802907075,0.0,9.334751619755142,1011.0869500372856,0,30
2008,10,28.643600831195158,22.79688674274597,34.1148925621762,0.0,7.007096774193548,1010.9167741935485,0,31
2008,11,27.323939269573625,22.468264911993405,31.97301501644883,0.0,6.208666666666667,1010.9373333333334,0,30
2008,12,27.682265285667732,22.425467806239794,32.34361657496249,0.0,6.147096774193548,1010.5896774193548,0,31
2009,1,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,0,31
2009,2,28.462637074073147,22.66865973992025,33.68739858192333,0.0,6.405029585798816,1010.6857988165679,0,28
2009,3,27.954045204259987,22.6485657348525,33.25677617103611,0.0,6.063763292475038,1010.9570570570571,0,31
2009,4,27.91053237765258,22.61826882064582,33.07970537040904,0.0,5.988205759101919,1010.745,0,30
2009,5,27.974507238792953,22.76903810475239,33.141932229201515,0.0,7.040860215053763,1011.6268817204301,0,31
2009,6,28.220662220216912,22.563941660379616,33.59305937536417,0.0,8.018666666666666,1012.2233333333334,0,30
2009,7,28.71185986367863,22.71914045161159,34.19503299444866,0.0,11.233548387096775,1012.4174193548388,0,31
2009,8,29.605097538197242,23.283630044409907,35.13244698196759,0.0,10.692959770114943,1011.8156989247311,0,31
2009,9,29.710151777313044,23.272415197822745,35.578077802907075,0.0,9.334751619755142,1011.0869500372856,0,30
2009,10,28.643600831195158,22.79688674274597,34.1148925621762,0.0,7.007096774193548,1010.9167741935485,0,31
