fecha,tavg,tmin,tmax,prcp,wspd,pres,año,mes,año_mes
1993-12-25,27.682265285667732,22.425467806239794,32.34361657496249,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-26,27.682265285667732,22.425467806239794,32.34361657496249,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-27,27.682265285667732,22.425467806239794,32.34361657496249,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-28,27.682265285667732,22.425467806239794,32.34361657496249,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-29,27.682265285667732,22.425467806239794,32.34361657496249,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-30,27.682265285667732,22.425467806239794,32.34361657496249,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-31,27.682265285667732,22.425467806239794,32.34361657496249,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1994-01-01,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-02,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-03,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-04,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-05,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-06,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-07,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-08,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-09,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-10,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-11,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-12,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-13,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-14,27.5,23.0,31.8,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-15,27.05,22.35,31.0,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-16,26.6,21.7,30.2,3.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-17,26.1,21.0,30.64,0.3,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-18,27.6,21.9,31.08,3.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-19,27.833333333333336,21.866666666666667,31.52,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-20,28.066666666666666,21.833333333333332,31.959999999999997,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-21,28.3,21.8,32.4,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-22,28.3,22.0,32.43333333333333,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-23,28.3,22.2,32.46666666666667,1.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-24,24.7,21.3,32.5,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-25,24.666666666666664,21.15,32.7,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-26,24.633333333333333,21.0,32.9,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-27,24.6,20.85,33.1,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-28,24.566666666666666,20.7,33.300000000000004,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-29,24.53333333333333,20.549999999999997,33.5,0.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-30,24.5,20.4,33.7,15.0,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-01-31,24.3,21.0,33.175000000000004,4.1,6.186486486486486,1010.9416216216217,1994,1,1994-01
1994-02-01,25.4,21.4,32.650000000000006,2.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-02,25.549999999999997,20.75,32.125,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-03,25.7,20.1,31.6,2.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-04,25.0,20.1,30.6,2.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-05,25.75,20.65,30.71578947368421,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-06,26.5,21.2,30.83157894736842,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-07,26.570588235294117,21.25294117647059,30.947368421052634,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-08,26.641176470588235,21.305882352941175,31.063157894736843,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-09,26.711764705882352,21.358823529411765,31.178947368421053,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-10,26.78235294117647,21.41176470588235,31.294736842105262,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-11,26.852941176470587,21.46470588235294,31.410526315789472,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-12,26.923529411764704,21.51764705882353,33.68739858192333,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-13,26.99411764705882,21.570588235294117,33.68739858192333,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-14,28.462637074073147,22.66865973992025,33.68739858192333,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-15,28.462637074073147,22.66865973992025,33.68739858192333,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-16,28.462637074073147,22.66865973992025,33.68739858192333,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-17,28.462637074073147,22.66865973992025,33.68739858192333,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-18,28.462637074073147,22.66865973992025,33.68739858192333,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-19,28.462637074073147,22.66865973992025,33.68739858192333,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-20,28.462637074073147,22.66865973992025,33.68739858192333,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-21,28.462637074073147,22.66865973992025,33.68739858192333,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-22,28.462637074073147,22.66865973992025,33.68739858192333,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-23,27.7,22.1,32.8,13.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-24,26.3,22.8,32.1,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-25,24.4,22.0,31.880000000000003,23.1,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-26,24.75,21.9,31.66,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-27,25.1,21.8,31.44,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-02-28,25.45,21.700000000000003,31.22,0.0,6.405029585798816,1010.685798816568,1994,2,1994-02
1994-03-01,25.8,21.6,31.0,24.9,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-02,28.6,22.2,32.45,0.3,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-03,28.3,23.0,33.9,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-04,26.0,21.2,32.5,30.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-05,26.1,22.1,31.2,4.1,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-06,27.2,22.7,31.6,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-07,27.15,22.35,32.0,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-08,27.1,22.0,32.4,10.9,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-09,28.0,22.2,32.800000000000004,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-10,27.4,22.0,33.2,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-11,25.549999999999997,21.5,32.7,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-12,23.7,21.0,32.2,17.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-13,26.0,20.1,29.5,31.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-14,25.7,20.6,30.3,1.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-15,24.7,22.6,29.2,0.5,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-16,26.7,22.6,29.57272727272727,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-17,27.03333333333333,22.783333333333335,29.945454545454545,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-18,27.366666666666667,22.96666666666667,30.318181818181817,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-19,27.7,23.15,30.690909090909088,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-20,28.03333333333333,23.333333333333332,31.063636363636363,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-21,28.366666666666667,23.516666666666666,31.436363636363634,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-22,28.7,23.7,31.809090909090905,6.1,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-23,28.45,23.525,33.25677617103611,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-24,28.2,23.35,33.25677617103611,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-25,27.95,23.175,33.25677617103611,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-26,27.7,23.0,33.3,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-27,27.049999999999997,22.8,33.059999999999995,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-28,26.4,22.6,32.82,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-29,26.133333333333333,22.066666666666666,32.58,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-30,25.866666666666667,21.533333333333335,32.34,0.0,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-03-31,25.6,21.0,32.1,55.9,6.063763292475038,1010.9570570570571,1994,3,1994-03
1994-04-01,24.450000000000003,20.5,31.950000000000003,0.0,5.988205759101919,1010.745,1994,4,1994-04
1994-04-02,23.3,20.0,31.8,128.0,5.988205759101919,1010.745,1994,4,1994-04
1994-04-03,25.1,21.5,31.6,9.9,5.988205759101919,1010.745,1994,4,1994-04
1994-04-04,26.9,23.0,31.4,1.0,5.988205759101919,1010.745,1994,4,1994-04
